FRASES;ARG1;REL;ARG2;Estrutura ARG1;Estrutura relacionador;Estrutura ARG2;status;;;;;;;;;;;;;;;;;;
A arquitetura tradicional é distinta e inclui o manuelino, também conhecido como gótico tardio português, um estilo português sumptuoso e composto de ornamentação arquitetônica das primeiras décadas do século XVI.;A arquitetura tradicional ; é;distinta e inclui o manuelito;Det N adj;V;adj conj N det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O futebol é o esporte mais popular em Portugal.;Futebol;é;o esporte mais popular em Portugal;N;V;Det N adv adj ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Com a ocupação de Napoleão, Portugal iniciou um declínio lento, mas inexorável, que durou até o século 20.;Portugal;iniciou;um declínio lento;PropN;V;Det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Portugal liderou a exploração européia do mundo e uma era da descoberta.;Portugal;liderou;a exploração européia;PropN;V;Det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Passos Coelho também anunciou que a idade da aposentadoria será aumentada de 65 para 66, anunciou cortes nas pensões, subsídios de desemprego, despesas com saúde, educação e ciências, aboliu as aulas obrigatórias de inglês no ensino básico, mas manteve as pensões dos juízes , diplomatas intocados e não aumentaram a idade de aposentadoria das forças militares e policiais.;Passos Coelho;anunciou;a que a idade da aponsetadoria será aumentada;PropN;V;det conj det N ADP det N N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O português é uma língua românica que se originou no que hoje é a Galiza e o norte de Portugal, originária do galego-português, que era a língua comum do povo galego e português até a independência de Portugal.;O português;é;uma língua romântica;Det N;V;Det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O português é uma língua românica que se originou no que hoje é a Galiza e o norte de Portugal, originária do galego-português, que era a língua comum do povo galego e português até a independência de Portugal.;O português se;originou;no que hoje é a Galiza;PropN conj;V;ADP det conj adv v det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O Ministério da Saúde é responsável por desenvolver políticas de saúde, bem como gerenciar o SNS."": {";O Ministério da Saúde;é;responsável por desenvolver políticas de saúde;Det N ADP det N;V;adj ADP v N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A mortalidade por doenças cardiovasculares (DCV) é mais elevada do que na zona euro, mas os seus dois componentes principais, doença cardíaca isquémica e doença cerebrovascular, apresentam tendências inversas em comparação com o Eur-A, com o Doença cerebrovascular como o maior assassino em Portugal (17% ) Os portugueses morrem 12% menos frequentemente de câncer do que no Eur-A, mas a mortalidade não está diminuindo tão rapidamente quanto no Eur-A."": {";A mortalidade por doenças cardiovasculares (DCV);é;mais elevada do que na zona euro;Det N ADP N adj punct pron punct;V;adv N ADP det conj ADP det N N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A mortalidade por doenças cardiovasculares (DCV) é mais elevada do que na zona euro, mas os seus dois componentes principais, doença cardíaca isquémica e doença cerebrovascular, apresentam tendências inversas em comparação com o Eur-A, com o Doença cerebrovascular como o maior assassino em Portugal (17% ) Os portugueses morrem 12% menos frequentemente de câncer do que no Eur-A, mas a mortalidade não está diminuindo tão rapidamente quanto no Eur-A."": {";Os portugueses;morrem;12% menos frequentemente de câncer do que no Eur-A;Det adj;V;Num punct adv adv ADP N ADP det conj ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A arquitetura tradicional é distinta e inclui o manuelino, também conhecido como Gótico tardio português, um estilo português suntuoso e composto de ornamentação arquitetônica das primeiras décadas do século XVI.;A arquitetura tradicional;é;distinta e inclui o manuelino;Det N adj;V;adj conj N det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Kanye Omari West nasceu em 8 de junho de 1977 em Atlanta, Geórgia.;Kanye Omari West;nasceu em;Atlanta;propN;V ADP;propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Kanye Omari West nasceu em 8 de junho de 1977 em Atlanta, Geórgia.;Kanye Omari West;nasceu em;8 de Junho de 1997;PropN;V ADP;Num ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Jay Z adquiriu a controladora da Tidal, Aspiro, no primeiro trimestre de 2015.;Jay-z;adquiriu; a controladora da Tidal;propN;V;N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
No budismo Theravada, o objetivo final é alcançar o sublime estado do Nirvana, alcançado pela prática do Nobre Caminho Óctuplo (também conhecido como Caminho do Meio), escapando assim ao que é visto como um ciclo de sofrimento e renascimento.;No budismo Theravada, o objetivo final;é;alcançar o sublime estado do Nirvana;ADP N PropN punct det N adj;V;v det N adj N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O budismo mahayana, ao contrário, aspira ao estado de Buda através do caminho do bodhisattva, um estado em que alguém permanece neste ciclo para ajudar outros seres a alcançar o despertar.;O budismo mahayana, ao contrário,; aspira ;ao estado de Buda;Det adj punct ADP pron adj punct;V;ADP pron N ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
 Os fundamentos da tradição e prática budistas são as Três Jóias o Buda, o Dharma (os ensinamentos) e a Sangha (a comunidade).;As três jóias da tradição budista; são  ;as Três Jóias o Buda;Det N N ADP DET N adj;V;Det N N det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Dentro do budismo, samsara é definido como o ciclo repetitivo contínuo de nascimento e morte que surge da apreensão e fixação de seres comuns em um eu e experiências.;Dentro do budismo, samsara;é;definido como o ciclo repetitivo contínuo de nascimento e morte;adv ADP det N punct N;V;adj conj det N adj adj ADP N conj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"No budismo, o karma (do sânscrito \""ação, trabalho\"") é a força que impulsiona o saṃsāra - o ciclo de sofrimento e renascimento de cada ser.";"o karma (do sânscrito \""ação, trabalho\"")"; é;a força que impulsiona o saṃsāra;Det N punct det ADP N punct punct N punct N punct punct punct;V;det N conj N det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
No contexto das quatro nobres verdades, a origem de dukkha é comumente explicada como desejo (Pali tanha) condicionado pela ignorância (Pali avijja).;A origem de dukkha; é;comumente explicada como desejo;Det N ADP det N;V;Adv adj conj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;O budismo mahayana;encoraja;todos a se tornarem bodhisattvas;Det N adj;V;Pron det pron v adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O budismo mahayana encoraja todos a se tornarem bodhisattvas e a fazer o voto de bodhisattva, onde o praticante promete trabalhar para a completa iluminação de todos os seres praticando os seis pāramitās.;o praticante;promete;trabalhar para a completa iluminação de todos os seres;Det adj;V;v ADP det N N ADP pron det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Soka Gakkai International (SGI) é um movimento budista leigo que liga mais de 12 milhões de pessoas em todo o mundo e atualmente é descrito como \""o mais diverso\"" e \""o maior movimento budista leigo do mundo";Soka Gakkai International (SGI);é;um movimento budista leigo;PropN punct pron punct;V;det adv adj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Theravada (\""Doutrina dos Anciões\"", ou \""Doutrina Antiga\"") é a mais antiga escola budista sobrevivente.";Theravada;é;a mais antiga escola budista sobrevivente.;PropN;V;det adv adj N adj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Somente a escola Theravada não inclui as escrituras Mahayana em seu cânon."": {";a escola Theravada ;não inclui;as escrituras Mahayava em seu cânon;Det N PropN;V;Det N adj ADP poss N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
""" No budismo Theravada, o objetivo final é alcançar o sublime estado do Nirvana, alcançado praticando o Nobre Caminho Óctuplo (também conhecido como Caminho do Meio), escapando assim ao que é visto como um ciclo de sofrimento e renascimento."": {";No budismo Theravada, o objetivo final;é;alcançar o sublime estado do Nirvana;ADP det N adj punct det N adj;V;v det adj N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O budismo nega uma divindade de O Criador e postula que divindades mundanas como Mahabrahma são mal interpretadas como criador."": {";O budismo;nega;uma divindade de O Criador;Det N;V;Det adj ADP det adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A segunda verdade é que a origem de dukkha pode ser conhecido.;A segunda verdade;é;que a origem de dukkha pode ser conhecido.;Det adj N;V;conj det N ADP PropN v v adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O ensinamento zen-budista geralmente é cheio de paradoxos, a fim de afrouxar o domínio do ego e facilitar a penetração no reino do Eu Verdadeiro ou Eu Sem Forma, que é equiparado ao próprio Buda.;O ensinamento zen-budista geralmente;é;cheio de paradoxos;det adv adj punct adj adv;V;adj ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Na segunda metade do século XX, um movimento moderno no Budismo Nichiren Soka Gakkai (Sociedade de Criação de Valor) surgiu no Japão e se espalhou para outros países.;um movimento moderno no Budismo Nichiren Soka Gakkai (Sociedade de Criação de Valor);surgiu  ;no Japão ;Det adv adj ADP det N PropN;V;ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Além disso, o Budismo do Leste Asiático reconhece alguns sutras considerados pelos estudiosos de origem chinesa e não indiana.;Budismo do leste asiático;reconhece;alguns sutras de origem chinesa;N ADP det N adj;V;pron N ADP det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O programa foi renomeado como American Idol The Search for a Superstar e estreou no verão de 2002.;O programa;foi;renomeado como American Idol The Search for a Superstar;Det N;V;N adv adj N det N ADP det adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
No entanto, na sexta temporada, durante o primeiro episódio da série Idol Gives Back, nenhum participante foi eliminado, mas na semana seguinte, dois foram enviados para casa.;nenhum participante;foi ;eliminado;pron adj;V;adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
No entanto, na sexta temporada, durante o primeiro episódio da série Idol Gives Back, nenhum participante foi eliminado, mas na semana seguinte, dois foram enviados para casa.;na semana seguinte, dois;foram;enviados para casa.;ADP det N adj punct N;V;adj ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Após o sucesso da primeira temporada, a segunda temporada foi ao ar em janeiro de 2003.;A segunda temporada ;foi;ao ar em janeiro de 2003;Det adj N;V;ADP det N ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Desde então, Underwood vendeu 65 milhões de discos em todo o mundo e se tornou o concorrente de maior sucesso nos EUA, vendendo mais de 14 milhões de cópias de álbuns nos EUA e mais Underwood ganhou sete prêmios Grammy, o maior número de Grammys de um ex-aluno do \""American Idol\"".";Underwood;vendeu;65 milhões de discos em todo o mundo;PropN;V;Num N ADP N ADP Pron det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
No final da temporada de 23 de maio, Jordin Sparks foi declarado vencedor, sendo o segundo colocado Blake Lewis.;Jordin Sparks; foi;declarado vencedor;PropN;V;part adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"De acordo com o vencedor da quinta temporada, Taylor Hicks, que é do estado do Alabama, \""as pessoas do sul têm muito orgulho ... Então, elas são inflexíveis em apoiar os competidores que se saem bem de seu estado ou região\"".";Taylor Hicks;é;do estado do Alabama; PropN;V;ADP det N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"De acordo com o vencedor da quinta temporada, Taylor Hicks, que é do estado do Alabama, \""as pessoas do sul têm muito orgulho ... Então, elas são inflexíveis em apoiar os competidores que se saem bem de seu estado ou região\"".";o vencendor da quinta temporada;é;do estado do Alabama;Det adj ADP det adj N;V;ADP det N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"De acordo com o vencedor da quinta temporada, Taylor Hicks, que é do estado do Alabama, \""as pessoas do sul têm muito orgulho ... Então, elas são inflexíveis em apoiar os competidores que se saem bem de seu estado ou região\"".";as pessoas do sul;têm ;muito orgulho;Det N ADP det N;V;adv N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A sexta temporada foi a primeira temporada em que os resultados médios mostram uma classificação mais alta do que as etapas da competição (diferente das temporadas anteriores) e se tornou a segunda melhor classificação da série após a temporada anterior.;A sexta temporada;foi ;a primeira temporada em que os resultados médios mostram uma classificação mais alta;Det adj N;V;det adj N ADP conj det N adj v det N adv adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A sexta temporada foi a primeira temporada em que os resultados médios mostram uma classificação mais alta do que as etapas da competição (diferente das temporadas anteriores) e se tornou a segunda melhor classificação da série após a temporada anterior.;os resultados médios;mostram;uma classificação mais alta do que as etapas da competição;Det N adj;V;det N adv adj ADP det conj det N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O American Idol foi indicado ao Programa de Competição de Realidade Excepcional do Emmy por nove anos, mas nunca venceu."": {";O American Idol;foi;indicado ao Programa de Competição de Realidade Excepcional do Emmy;Det N;V;part ADP det N ADP N ADP N adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na turnê da 12ª temporada, um semi-finalista que venceu uma cantada também foi adicionado à turnê."": {";Um semi-finalista que venceu uma cantada;foi adicionado;à turnê na 12ª temporada;Det adj conj v det N;v part;Det ADP N ADP det Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A apresentadora de talk show ganhadora do Emmy, Ellen Degeneres substituiu Paula Abdul nessa temporada, mas saiu depois de apenas uma temporada.;Ellen degeneres;substituiu;Paula Abdul nessa temporada;propN;V;PropN ADP Pron N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"As teorias dadas para o sucesso dos sulistas no ídolo foram mais versatilidade com gêneros musicais, já que o sul dos EUA é o lar de várias cenas de gênero musical; não ter tantas oportunidades de entrar no negócio da música pop; votação por texto devido ao Sul ter a maior porcentagem de domicílios somente por telefone celular; e a forte herança da música e do canto, que é notável no Cinturão da Bíblia, onde é na Igreja que muitas pessoas começam a cantar em público.";As teorias;dadas para ;o sucesso dos sulistas no ídolo foram mais versatilidade com gêneros musicais;Det N;V ADP;Det N ADP det adj ADP det N v adv N ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A palavra \""cão de caça\"" é derivada, em última análise, da palavra proto-indo-européia * kwon- \""cachorro\"".";"A palavra \""cão de caça\""";é derivada de;a palavra proto-indo-européia * kwon-;Det N punct punct N ADP N punct punct;V part ADP;Det N pron punct pront punct pron N punct N punct;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1758, o taxonomista Linnaeus publicou no Systema Naturae uma categorização de espécies que incluía as espécies de Canis."": {";o taxonomista Linnaeus;publicou em;o Systema Naturae uma categorização de espécies;Det adj propN;V  ADP;det N N det N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Nos países asiáticos, como China, Coréia e Japão, os cães são vistos como protetores gentis.""";os cães ;são;vistos como protetores gentis;Det N;V;part conj adj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O pai de uma ninhada é chamado de pai, e a mãe é chamada de barragem."": {";O pai de uma ninhada;é ;chamado de pai;Det N ADP det N;V;part ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O pai de uma ninhada é chamado de pai, e a mãe é chamada de barragem."": {";O pai de uma ninhada;é chamado de ;pai;Det N ADP det N;V part ADP;N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
" Cazaquistão O primeiro portador de tocha em Almaty, onde a tocha olímpica chegou pela primeira vez em 2 de abril, foi o presidente do Nursultan Nazarbaev do Cazaquistão."": {";O primeiro portador de tocha em Almaty;foi ;"o presidente de Nursultan Nazarbaev do Cazaquistão."": {";Det N adj ADP N ADP PropN;V;Det N ADP PropN PropN ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
" Cazaquistão O primeiro portador de tocha em Almaty, onde a tocha olímpica chegou pela primeira vez em 2 de abril, foi o presidente do Nursultan Nazarbaev do Cazaquistão."": {";a tocha olímpica;chegou ;por a primeira vez em 2 de abril;Det N adj;V;ADP det N N ADP Num ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Rússia Em 5 de abril, a tocha olímpica chegou a São Petersburgo, na Rússia."": {";A tocha olímpica;chegou;a São Petersburgo ;Det N;V ;PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em meio à pressão de ambas as direções, o primeiro-ministro Gordon Brown recebeu a tocha do lado de fora da 10 Downing Street sem segurá-la ou tocá-la."": {";Gordon brown;recebeu;a tocha de o lado de fora de a 10 Downing Street;propN;V ADP;N ADP det N ADP N ADP det Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1º de abril de 2008, o Conselho de Supervisores de São Francisco aprovou uma resolução que tratava das questões de direitos humanos quando a tocha olímpica de Pequim chegasse a São Francisco em 9 de abril."": {";Conselho de supervisores de são francisco;aprovou;a resolução que tratava de as questões de direitos humanos ;N ADP N ADP PropN;V;det N ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1º de abril de 2008, o Conselho de Supervisores de São Francisco aprovou uma resolução que tratava das questões de direitos humanos quando a tocha olímpica de Pequim chegasse a São Francisco em 9 de abril."": {";uma resolução;tratava de ;as questões de direitos humanos;det N;V ADP;det N ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1º de abril de 2008, o Conselho de Supervisores de São Francisco aprovou uma resolução que tratava das questões de direitos humanos quando a tocha olímpica de Pequim chegasse a São Francisco em 9 de abril."": {";uma resolução;tratava de as questões de;direitos humanos;det N;V ADP det N ADP;N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A mídia indiana informou que o ministro do Comércio da Índia, Kamal Nath, cancelou uma viagem oficial a Pequim em protesto, apesar de fontes da Nath e da China terem negado."":";o ministro do comércio da índia;cancelou;uma viagem oficial a Pequim;Det N ADP det N ADP det PropN;V;Det N adj ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A mídia indiana informou que o ministro do Comércio da Índia, Kamal Nath, cancelou uma viagem oficial a Pequim em protesto, apesar de fontes da Nath e da China terem negado."":";A mídia indiana;informou;que o ministro de o Comércio da índia cancelou uma viagem oficial a Pequim;Det N adj;V;conj det N ADP det N ADP det PropN v det N adj ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A Organização das Nações Unidas e sua agência infantil UNICEF retiraram sua equipe, dizendo que não tinha certeza de que o evento ajudaria sua missão de aumentar a conscientização sobre as condições das crianças e em meio a preocupações de que o revezamento fosse usado como um golpe de propaganda."": {";A Organização de as Nações Unidas e sua agência infantil UNICEF;retiraram;sua equipe;Det N det ADP N adj conj poss N adj Pron;V;poss N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em vez de ensinar pequenas partes de um grande número de assuntos, Whitehead advogou o ensino de relativamente poucos conceitos importantes que o aluno poderia vincular organicamente a muitas áreas diferentes do conhecimento, descobrindo sua aplicação na vida real."": {";Whitehead;advogou;o ensino de relativamente poucos conceitos importantes;PropN;V;det N ADP adv N N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em vez de ensinar pequenas partes de um grande número de assuntos, Whitehead advogou o ensino de relativamente poucos conceitos importantes que o aluno poderia vincular organicamente a muitas áreas diferentes do conhecimento, descobrindo sua aplicação na vida real."": {";Whitehead;advogou o ensino de;relativamente poucos conceitos importantes;PropN;V det N ADP;adv N N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Whitehead argumentou que a realidade consiste em processos e não em objetos materiais, e que os processos são melhor definidos por suas relações com outros processos, rejeitando assim a teoria de que a realidade é fundamentalmente construída por pedaços de matéria que existem independentemente um do outro."": {";Whitehead ;argumentou;que a realidade em consiste processos;PropN;V;conj det N ADP N N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Alfred North Whitehead nasceu em Ramsgate, Kent, Inglaterra, em 1861.;Alfred North Whitehead;nasceu em;Ramsgate, Kent, Inglaterra,;PropN;V;PropN punct propN punct PropN  punct;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Alfred North Whitehead nasceu em Ramsgate, Kent, Inglaterra, em 1861.;Alfred North Whitehead; nasceu;em 1861;PropN;V;ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Alfred North Whitehead nasceu em Ramsgate, Kent, Inglaterra, em 1861.;Alfred North Whitehead;nasceu;em Ramsgate, Kent, Inglaterra,;PropN;V;ADP PropN punct PropN punct PropN punct;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1918, as responsabilidades acadêmicas de Whitehead começaram a se expandir seriamente, quando ele aceitou uma série de altos cargos administrativos dentro do sistema da Universidade de Londres, dos quais o Imperial College London era membro na época."": {";as responsabilidades acadêmicas de Whitehead;começaram;a se expandir seriamente;det N adj ADP PropN;V;det pron v adv;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A biografia de dois volumes de Whitehead de Victor Lowe é a apresentação mais definitiva da vida de Whitehead."": {";A biografia de dois volumes de Whitehead de Victor Lowe;é ;a apresentação mais definitiva da vida de Whitehead;Det N ADP N N ADP PropN ADP PropN;V;det N adv N ADP det N ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Embora a corrida tenha sido um fator que contribuiu para o momento da morte do IndyMac, a causa subjacente da falha foi a maneira insegura e insalubre pela qual a economia foi operada."": {";a causa subjacente de a falha;foi;"maneira insegura e insalubre por a qual a economia foi operada""";Det N N ADP det N;V;N adj conj adn ADP det pron det N v part;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A recessão nos EUA, iniciada em dezembro de 2007, terminou em junho de 2009, de acordo com o Bureau Nacional de Pesquisa Econômica dos EUA (NBER) e a crise financeira parece ter terminado na mesma época."": {";A crise financeira;parece;ter terminado junho de 2009;Det N adj;V;v part N ADP det Num;EXTRAÇÃO VÁLIDA;;;;;;;;;;;;;;;;;;
"A recessão nos EUA, iniciada em dezembro de 2007, terminou em junho de 2009, de acordo com o Bureau Nacional de Pesquisa Econômica dos EUA (NBER) e a crise financeira parece ter terminado na mesma época."": {";A recessão em os EUA;terminou;em junho de 2009;Det N ADP det Pron;V;ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em um discurso de junho de 2008, o presidente e CEO do Banco da Reserva Federal de Nova York, Timothy Geithner - que em 2009 se tornou secretário do Tesouro dos Estados Unidos - atribuiu uma culpa significativa ao congelamento dos mercados de crédito em uma \""corrida\"" às entidades do \"" sistema bancário paralelo \"", também chamado de sistema bancário paralelo."": {";Timothy Geithner;se tornou;secretário de oTesouro de os Estados Unidos;PropN;Pron V;N  ADP det N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em um discurso de junho de 2008, o presidente e CEO do Banco da Reserva Federal de Nova York, Timothy Geithner - que em 2009 se tornou secretário do Tesouro dos Estados Unidos - atribuiu uma culpa significativa ao congelamento dos mercados de crédito em uma \""corrida\"" às entidades do \"" sistema bancário paralelo \"", também chamado de sistema bancário paralelo."": {";Timothy Geithner;atribuiu;uma culpa significativa a o congelamento de os mercados de crédito;PropN;V;det N adj ADP det adv ADP det N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
os títulos lastreados em hipotecas comerciais, os lastreados em ativos e os CDOs atingiram o pico em 2006 em quase US $ 2 trilhões ... Em 2009, a emissão privada foi de menos de US $ 150 bilhões, e quase toda a emissão em lastro foi suportada pelo Programa TALF do Federal Reserve para ajudar os financiadores de cartões de crédito, automóveis e pequenas empresas.;os lastreados em ativos e os CDOs;atingiram ;pico em 2006 em quase US $ 2 trilhões;det N ADP N conj det Pron;V ;N ADP Num ADP adv Pron punct Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
os títulos lastreados em hipotecas comerciais, os lastreados em ativos e os CDOs atingiram o pico em 2006 em quase US $ 2 trilhões ... Em 2009, a emissão privada foi de menos de US $ 150 bilhões, e quase toda a emissão em lastro foi suportada pelo Programa TALF do Federal Reserve para ajudar os financiadores de cartões de crédito, automóveis e pequenas empresas.;a emissão privada;foi ;de menos de US $ 150 bilhões;Det N adj;V;ADP adv ADP Pron punct Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
os títulos lastreados em hipotecas comerciais, os lastreados em ativos e os CDOs atingiram o pico em 2006 em quase US $ 2 trilhões ... Em 2009, a emissão privada foi de menos de US $ 150 bilhões, e quase toda a emissão em lastro foi suportada pelo Programa TALF do Federal Reserve para ajudar os financiadores de cartões de crédito, automóveis e pequenas empresas.;quase toda a emissão;foi;suportada por o Programa TALF de o Federal Reserve;adv pron det N;V;part ADP det N Pron ADP det N N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"São elas As tartarugas marinhas de couro que têm pele de couro em vez de concha e são as maiores do tipo encontrado aqui, algumas vezes medindo até 3 m (a média é de 1,5 m) e pesando cerca de 450 kg (a água-viva é a sua favorita) dieta); as tartarugas-de-pente, que têm bicos semelhantes a falcões e encontradas perto de recifes, geralmente com cerca de 90 cm de diâmetro e peso de 60 kg e sua dieta consiste em caranguejos e caracóis; e as tartarugas verdes, herbívoros com cabeças arredondadas, geralmente com cerca de 90 cm de diâmetro e vivem em meio a ervas marinhas altas.";As tartarugas marinhas de couro;têm ;pele de couro;Det N adj;V;N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"São elas As tartarugas marinhas de couro que têm pele de couro em vez de concha e são as maiores do tipo encontrado aqui, algumas vezes medindo até 3 m (a média é de 1,5 m) e pesando cerca de 450 kg (a água-viva é a sua favorita) dieta); as tartarugas-de-pente, que têm bicos semelhantes a falcões e encontradas perto de recifes, geralmente com cerca de 90 cm de diâmetro e peso de 60 kg e sua dieta consiste em caranguejos e caracóis; e as tartarugas verdes, herbívoros com cabeças arredondadas, geralmente com cerca de 90 cm de diâmetro e vivem em meio a ervas marinhas altas.";as tartarugas-de-pente;têm;bicos semelhantes a falcões;Det PropN;V;N adj det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O Museu Territorial de São Bartolomeu é um museu histórico conhecido como \""Museu Municipal de St. Barts\"", também chamado de \""Wall House\"" (museu - bibliothèque) em Gustavia, localizado na extremidade de La Pointe.";O Museu Territorial de São Bartolomeu;é;"um museu histórico como \""Museu Municipal de St. Barts\";Det N  adj ADP PropN;V;Det N adj conj punct punct N adj ADP Pron punct PropN punct ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Sassou também venceu a seguinte eleição presidencial em julho de 2009.;Sassou também;venceu;a seguinte eleição presidencial;propN adv;V;Det adj N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
